administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
40103,若松区,4012,北九州,1
40105,戸畑区,4012,北九州,1
40106,小倉北区,4012,北九州,1
40107,小倉南区,4012,北九州,1
40108,八幡東区,4012,北九州,1
40109,八幡西区,4012,北九州,1
40131,東区,4001,福岡・糸島,1
40132,博多区,4001,福岡・糸島,1
40133,中央区,4001,福岡・糸島,1
40134,南区,4001,福岡・糸島,1
40135,西区,4001,福岡・糸島,1
40136,城南区,4001,福岡・糸島,1
40137,早良区,4001,福岡・糸島,1
40202,大牟田市,4008,有明,1
40203,久留米市,4006,久留米,1
40204,直方市,4010,直方・鞍手,1
40205,飯塚市,4009,飯塚,1
40206,田川市,4011,田川,1
40207,柳川市,4008,有明,1
40210,八女市,4007,八女・筑後,1
40211,筑後市,4007,八女・筑後,1
40212,大川市,4006,久留米,1
40213,行橋市,4013,京築,1
40214,豊前市,4013,京築,1
40215,中間市,4012,北九州,1
40216,小郡市,4006,久留米,1
40217,筑紫野市,4004,筑紫,1
40218,春日市,4004,筑紫,1
40219,大野城市,4004,筑紫,1
40220,宗像市,4003,宗像,1
40221,太宰府市,4004,筑紫,1
40223,古賀市,4002,粕屋,1
40224,福津市,4003,宗像,1
40225,うきは市,4006,久留米,1
40226,宮若市,4010,直方・鞍手,1
40227,嘉麻市,4009,飯塚,1
40228,朝倉市,4005,朝倉,1
40229,みやま市,4008,有明,1
40230,糸島市,4001,福岡・糸島,1
40231,那珂川市,4004,筑紫,1
40341,宇美町,4002,粕屋,1
40342,篠栗町,4002,粕屋,1
40343,志免町,4002,粕屋,1
40344,須恵町,4002,粕屋,1
40345,新宮町,4002,粕屋,1
40348,久山町,4002,粕屋,1
40349,粕屋町,4002,粕屋,1
40381,芦屋町,4012,北九州,1
40382,水巻町,4012,北九州,1
40383,岡垣町,4012,北九州,1
40384,遠賀町,4012,北九州,1
40401,小竹町,4010,直方・鞍手,1
40402,鞍手町,4010,直方・鞍手,1
40421,桂川町,4009,飯塚,1
40447,筑前町,4005,朝倉,1
40448,東峰村,4005,朝倉,1
40503,大刀洗町,4006,久留米,1
